régionCNC;N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2022;entrées 2021;évolution entrées;tranche d'entrées;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude;geolocalisation
2;443601;LE NORMANDY;ILE-DE-FRANCE;72 BOULEVARD DE LA REPUBLIQUE;92076;Vaucresson;8941.0;92;00851;Paris;10949158.0;02-Petite Couronne;2.0;295.0;52.0;2334.0;30505.0;20029.0;52.30415896949423;De 30 à 40 000 entrées;UGC;OUI;C;;FIXE;NON;B;245.0;162.0;47.0;72.65983274885353;12.671971944968977;10.25424871864041;4.413946587537092;145.0;47.8318046938225;48.837881;2.157499;48.837881, 2.157499
2;449542;ESPACE BERNARD MANTIENNE;ILE-DE-FRANCE;VOIE DE L'AULNE;91645;Verrières-le-Buisson;14931.0;91;00851;Paris;10949158.0;03-Grande couronne;2.0;491.0;49.0;1724.0;24994.0;16808.0;48.70299857210851;De 20 à 30 000 entrées;;OUI;C;JP;FIXE;NON;B;271.0;202.0;5.0;67.73118461019237;13.689672629092136;14.347789402632467;4.231353358083024;173.0;54.003543705703684;48.754993;2.269638;48.754993, 2.269638
2;455770;LE COLOMBIER;ILE-DE-FRANCE;PLACE CHARLES DE GAULLE;92077;Ville-d'Avray;11170.0;92;00851;Paris;10949158.0;02-Petite Couronne;1.0;279.0;48.0;323.0;4860.0;2961.0;64.1337386018237;De 2 à 5 000 entrées;;OUI;C;;FIXE;NON;B;221.0;185.0;0.0;64.62434712736038;14.383286460425873;14.584170349537967;6.408196062675773;128.0;57.71394134190439;48.824654;2.18397;48.824654, 2.18397
2;461663;LE CASINO;ILE-DE-FRANCE;13 RUE GUILLAUME BUDE;94079;Villiers-sur-Marne;29820.0;94;00851;Paris;10949158.0;02-Petite Couronne;1.0;220.0;51.0;1076.0;19197.0;10379.0;84.96001541574331;De 10 à 20 000 entrées;;OUI;C;;FIXE;NON;B;270.0;202.0;3.0;56.36464360457959;18.207558783700602;11.41819524806106;14.009602363658747;161.0;51.79736550535517;48.826124;2.542402;48.826124, 2.542402
2;463353;CALYPSO A;ILE-DE-FRANCE;38 RUE VICTOR BASCH;91687;Viry-Châtillon;31297.0;91;00851;Paris;10949158.0;03-Grande couronne;3.0;551.0;53.0;3413.0;64674.0;38867.0;66.39822986080736;De 50 à 80 000 entrées;;OUI;C;JP;FIXE;NON;B;346.0;228.0;41.0;44.71506836110085;37.057982423726365;14.647430233118582;3.579518982054207;214.0;28.981572224989154;48.681815;2.379391;48.681815, 2.379391
2;463931;3 CINES ROBESPIERRE;ILE-DE-FRANCE;19 AVENUE MAXIMILIEN ROBESPIERRE;94081;Vitry-sur-Seine;96138.0;94;00851;Paris;10949158.0;02-Petite Couronne;3.0;509.0;53.0;4702.0;58289.0;34208.0;70.3958138447147;De 50 à 80 000 entrées;;OUI;C;RDJPPR;FIXE;NON;B;432.0;297.0;49.0;46.99683877766069;31.965421691449087;14.49478983725559;6.542949693634625;282.0;43.63852788510323;48.790948;2.388152;48.790948, 2.388152
2;575001;MEGARAMA;ILE-DE-FRANCE;44 AVENUE DE LA LONGUE BERTRANE;92078;Villeneuve-la-Garenne;24670.0;92;00851;Paris;10949158.0;02-Petite Couronne;18.0;3728.0;53.0;29616.0;354153.0;234993.0;50.707893426612706;De 300 à 450 000 entrées;MEGARAMA;NON;NON;;FIXE;OUI;B;277.0;206.0;204.0;22.612030134679184;59.49281955928314;11.559350962761178;6.335799343276497;57.0;2.7987046383216816;48.930677;2.320895;48.930677, 2.320895
2;724440;KINEPOLIS SERVON;ILE-DE-FRANCE;ZAC DE NOYER AUX PERDRIX;77450;SERVON;3359.0;77;00851;Paris;10949158.0;03-Grande couronne;9.0;1209.0;53.0;14250.0;170882.0;99839.0;71.15756367752081;De 150 à 200 000 entrées;KINEPOLIS;NON;NON;;FIXE;OUI;B;229.0;165.0;158.0;27.958162104158436;56.251216046507516;11.20708461325299;4.5835372360810585;19.0;1.0701209266126988;48.718766;2.589559;48.718766, 2.589559
1;31;UGC NORMANDIE;ILE-DE-FRANCE;116 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;36218.0;75;00851;Paris;10949158.0;01-Paris;4.0;1533.0;53.0;6966.0;148007.0;119434.0;23.923673325853613;De 100 à 150 000 entrées;UGC;NON;NON;;FIXE;NON;C;125.0;79.0;77.0;44.70344051220713;36.505312038274816;12.451276999929641;6.339970449588404;54.0;23.97523394075846;48.872265;2.300938;48.872265, 2.300938
1;204;UGC OPERA;ILE-DE-FRANCE;32 BD DES ITALIENS;75109;Paris 9e Arrondissement;60784.0;75;00851;Paris;10949158.0;01-Paris;4.0;722.0;53.0;6840.0;110063.0;81837.0;34.490511626770285;De 100 à 150 000 entrées;UGC;NON;NON;;FIXE;NON;C;111.0;71.0;71.0;55.64449451677675;27.053596576506184;12.62277059502285;4.679138311694212;55.0;23.24759455947957;48.871332;2.335302;48.871332, 2.335302
